title,description,source,publishedAt,url,sentiment,confidence
"US Investors Hyper Leveraged – Margin Debt Hits Record $1,500,000,000,000 in Massive Borrowing Spree","Margin debt in the US stock market hit an all-time high of $1.5 trillion in June.
The post US Investors Hyper Leveraged – Margin Debt Hits Record $1,500,000,000,000 in Massive Borrowing Spree appeared first on The Daily Hodl.",The Daily Hodl,2026-07-18T20:10:51Z,https://dailyhodl.com/2026/07/18/us-investors-hyper-leveraged-margin-debt-hits-record-1500000000000-in-massive-borrowing-spree/,neutral,0.5959219336509705
JPMorgan Chase CEO Jamie Dimon Thinks AI Spending Is Going to Reach $1 Trillion Next Year,"The market got great news from the big banks this week. All five of the largest U.S. banks reported second-quarter earnings on Tuesday, and they were almost uniformly outstanding. But although the U.S. consumer appears healthy, it was market-related activity …",Biztoc.com,2026-07-18T19:43:03Z,https://biztoc.com/x/790e828c180e1e51,positive,0.9066920876502991
Jamie Dimon predicts AI spending will hit $1 trillion next year,"JPMorgan CEO Jamie Dimon forecasts $1 trillion in global AI spending by 2027, creating ripple effects for crypto infrastructure and decentralized compute
The post Jamie Dimon predicts AI spending will hit $1 trillion next year appeared first on Crypto Briefin…",Crypto Briefing,2026-07-18T19:08:47Z,https://cryptobriefing.com/dimon-ai-spending-trillion-crypto-impact/,neutral,0.7617967128753662
Bank of America revamps Tesla forecast before earnings,"CEO Elon Musk, whom JPMorgan CEO Jamie Dimon once called “our Einstein"", has had plenty on his plate lately. 
SpaceX’s (SPCX) latest Starship launch was aborted, sending the stock tumbling below its IPO price to $123.99 on Friday, 45% below its post-listing p…",Biztoc.com,2026-07-18T18:10:29Z,https://biztoc.com/x/3937edd64483129b,negative,0.9685747623443604
"A massive margin call and ‘push-button liquidity’ have torched stocks, but they’re now poised to rebound, top Wall Street forecaster says","""I think those names are going to bounce later this year. So I don't think that the trade is over.""",Fortune,2026-07-18T17:21:50Z,https://fortune.com/2026/07/18/ai-stock-outlook-margin-call-korea-liquidity-leverage-rebound/,negative,0.7493796348571777
Oracle faces multibillion-dollar cost surprises at AI megacampuses,"Oracle's AI data center ambitions are hitting loan syndication walls, soaring capex, and a 19% stock drop. Here's what it means for investors.
The post Oracle faces multibillion-dollar cost surprises at AI megacampuses appeared first on Crypto Briefing.",Crypto Briefing,2026-07-18T17:20:02Z,https://cryptobriefing.com/oracle-multibillion-cost-surprises-ai-megacampuses/,negative,0.7138664722442627
Apple raises prices on key subscription services,Apple isn't just counting on customers to keep buying iPhones. It also expects them to keep paying every month long after they've bought one. While Apple bui...,TheStreet,2026-07-18T17:09:53Z,https://www.thestreet.com/technology/apple-customers-face-higher-subscription-prices,neutral,0.5963563919067383
"HDFC, Axis and Kotak Bank vs global banks: The valuation boomerang investors missed","Discover how valuation issues hindered India's top banks, contrasting their performance with global peers in post-pandemic recovery.",BusinessLine,2026-07-18T16:58:40Z,https://www.thehindubusinessline.com/portfolio/hdfc-axis-and-kotak-bank-vs-global-banks-the-valuation-boomerang-investors-missed/article71239035.ece,negative,0.8341326117515564
The valuation U-turn bank investors missed,"Discover how valuation issues hindered India's top banks, contrasting their performance with global peers in post-pandemic recovery.",BusinessLine,2026-07-18T16:40:19Z,https://www.thehindubusinessline.com/portfolio/the-valuation-u-turn-bank-investors-missed/article71239035.ece,negative,0.9608163833618164
Dave Ramsey: 'You can't outearn stupidity' — here's why teachers become millionaires so often and how to follow along,"As it turns out, there's lots you can learn from teachers even after you graduate.",Yahoo Entertainment,2026-07-18T16:15:00Z,https://finance.yahoo.com/small-business/articles/dave-ramsey-cant-outearn-stupidity-161500168.html,neutral,0.913016140460968
